morph_id,morph,position,in_cells,in_forms,language_id
ranglongM01,a,pre,3.sg.1.sg.nfut.aff; 3.sg.1.pl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.nfut.aff; 3.pl.1.pl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 3.sg.nfut.aff; 3.pl.nfut.aff,ranglong160; ranglong161; ranglong162; ranglong163; ranglong164; ranglong165; ranglong166; ranglong167; ranglong168; ranglong169; ranglong170; ranglong171; ranglong172; ranglong173; ranglong174; ranglong175; ranglong176; ranglong177; ranglong178; ranglong179; ranglong247; ranglong248,ranglong
ranglongM02,a m a,free,3.sg; 3.pl,ranglong005; ranglong006,ranglong
ranglongM03,ee j,pre,3.sg.1.sg.fut.aff; 3.sg.1.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.fut.aff; 3.pl.1.pl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff,ranglong054; ranglong056; ranglong059; ranglong060; ranglong063; ranglong064; ranglong066; ranglong069; ranglong070; ranglong073; ranglong074; ranglong077; ranglong078; ranglong080; ranglong083; ranglong086; ranglong087; ranglong090; ranglong091; ranglong235; ranglong236,ranglong
ranglongM04,i n,post,1.pl.2.sg.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.3.sg.fut.aff; 1.pl.3.pl.fut.aff; 1.pl.3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.fut.aff; 3.pl.1.pl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.3.pl.fut.aff,ranglong013; ranglong015; ranglong016; ranglong025; ranglong027; ranglong028; ranglong053; ranglong055; ranglong057; ranglong058; ranglong061; ranglong062; ranglong065; ranglong067; ranglong068; ranglong071; ranglong072; ranglong075; ranglong076; ranglong079; ranglong081; ranglong082; ranglong084; ranglong085; ranglong088; ranglong089,ranglong
ranglongM05,i ŋ,post,1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.sg.nfut.neg,ranglong180; ranglong182; ranglong183; ranglong189; ranglong191; ranglong192; ranglong249,ranglong
ranglongM06,k a,post,1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff,ranglong007; ranglong009; ranglong010; ranglong019; ranglong021; ranglong022,ranglong
ranglongM07,k a,pre,1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.sg.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff; 1.sg.3.pl.nfut.aff; 1.sg.nfut.aff,ranglong136; ranglong137; ranglong138; ranglong142; ranglong143; ranglong144; ranglong243,ranglong
ranglongM08,k ee j,pre,1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.fut.aff,ranglong008; ranglong011; ranglong012; ranglong020; ranglong023; ranglong024; ranglong231,ranglong
ranglongM09,k o i,free,1.sg; 1.pl,ranglong001; ranglong002,ranglong
ranglongM10,m a,post,1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.pl.2.pl.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.pl.fut.neg; 1.pl.3.pl.fut.neg; 1.pl.fut.neg,ranglong093; ranglong094; ranglong097; ranglong098; ranglong099; ranglong101; ranglong102; ranglong103; ranglong238,ranglong
